Images space usage:

REPOSITORY                               TAG                                  IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
qmcgaw/latexdevcontainer                 latest-full                          57bcdd367d90   5 months ago    4.684GB   0B            4.684GB       1
dataset_re                               v2                                   cffadcf62274   5 months ago    8.911GB   72.81MB       8.839GB       1
testcontainers/ryuk                      0.12.0                               a926383422af   9 months ago    15.83MB   0B            15.83MB       0
<none>                                   <none>                               158610ca7bb1   13 months ago   21.84GB   0B            21.84GB       1
dockerpull.cn/library/ubuntu             20.04                                6013ae1a63c2   17 months ago   72.81MB   0B            72.81MB       1
nvcr.io/nvidia/k8s/dcgm-exporter         latest                               fe4e503aaf3b   4 years ago     572.8MB   0B            572.8MB       1

Containers space usage:

CONTAINER ID   IMAGE                                          COMMAND                  LOCAL VOLUMES   SIZE      CREATED         STATUS                      NAMES
7a2a505bfa81   rtbench-instance-vllm-1                        "/opt/nvidia/nvidia_…"   0               372kB     3 days ago      Exited (129) 3 days ago     test1
c199b168de9d   rtbench-instance-vllm-11:v1                    "/opt/nvidia/nvidia_…"   0               1.91GB    7 days ago      Exited (255) 7 hours ago    instance-11-rtbench-instance-vllm-11
ae14c50be7b6   rtbench-instance-vllm-7:v1                     "/opt/nvidia/nvidia_…"   0               2.04GB    7 days ago      Exited (255) 7 hours ago    instance-7-rtbench-instance-vllm-7
33289499ed87   rtbench-instance-vllm-53:v1                    "/opt/nvidia/nvidia_…"   0               260MB     7 days ago      Exited (255) 7 hours ago    instance-53-rtbench-instance-vllm-53
e53d8c8207d2   rtbench-instance-vllm-50:v1                    "/opt/nvidia/nvidia_…"   0               15.4MB    7 days ago      Exited (255) 7 hours ago    instance-50-rtbench-instance-vllm-50
212088c24ef6   rtbench-instance-vllm-49:v1                    "/opt/nvidia/nvidia_…"   0               292MB     7 days ago      Exited (255) 7 hours ago    instance-49-rtbench-instance-vllm-49
f725312c3e9b   rtbench-instance-vllm-44:v1                    "/opt/nvidia/nvidia_…"   0               781MB     7 days ago      Exited (255) 7 hours ago    instance-44-rtbench-instance-vllm-44
97b26f8ef5a7   rtbench-instance-vllm-39:v1                    "/opt/nvidia/nvidia_…"   0               18.2MB    7 days ago      Exited (255) 7 hours ago    instance-39-rtbench-instance-vllm-39
b80a83bd81c5   rtbench-instance-vllm-36:v1                    "/opt/nvidia/nvidia_…"   0               284MB     7 days ago      Exited (255) 7 hours ago    instance-36-rtbench-instance-vllm-36
8e0d22331a8f   rtbench-instance-vllm-34:v1                    "/opt/nvidia/nvidia_…"   0               372MB     7 days ago      Up 5 hours                  instance-34-rtbench-instance-vllm-34
5d89a79d6cd5   rtbench-instance-vllm-33:v1                    "/opt/nvidia/nvidia_…"   0               29.9MB    7 days ago      Exited (255) 7 hours ago    instance-33-rtbench-instance-vllm-33
af90c3ba1941   rtbench-instance-vllm-30:v1                    "/opt/nvidia/nvidia_…"   0               1.22MB    7 days ago      Exited (255) 7 hours ago    instance-30-rtbench-instance-vllm-30
7160cfc4685f   rtbench-instance-vllm-29:v1                    "/opt/nvidia/nvidia_…"   0               1.1GB     7 days ago      Exited (255) 7 hours ago    instance-29-rtbench-instance-vllm-29
2be0c3f396a9   rtbench-instance-vllm-28:v1                    "/opt/nvidia/nvidia_…"   0               115MB     7 days ago      Exited (255) 7 hours ago    instance-28-rtbench-instance-vllm-28
3acf72ec7c99   rtbench-instance-vllm-27:v1                    "/opt/nvidia/nvidia_…"   0               422MB     7 days ago      Exited (255) 7 hours ago    instance-27-rtbench-instance-vllm-27
c27bb6bae1d9   rtbench-instance-vllm-26:v1                    "/opt/nvidia/nvidia_…"   0               1.12GB    7 days ago      Exited (255) 7 hours ago    instance-26-rtbench-instance-vllm-26
7f6e6bb9b3a7   rtbench-instance-vllm-25:v1                    "/opt/nvidia/nvidia_…"   0               3.75GB    7 days ago      Exited (255) 7 hours ago    instance-25-rtbench-instance-vllm-25
a6e46e0f830e   rtbench-instance-vllm-22:v1                    "/opt/nvidia/nvidia_…"   0               20.3MB    7 days ago      Exited (255) 7 hours ago    instance-22-rtbench-instance-vllm-22
dbfcbb7b6b05   rtbench-instance-vllm-21:v1                    "/opt/nvidia/nvidia_…"   0               864kB     7 days ago      Exited (255) 7 hours ago    instance-21-rtbench-instance-vllm-21
2663c900b9e2   rtbench-instance-vllm-20:v1                    "/opt/nvidia/nvidia_…"   0               722MB     7 days ago      Exited (255) 7 hours ago    instance-20-rtbench-instance-vllm-20
9c33a25413bc   rtbench-instance-vllm-19:v1                    "/opt/nvidia/nvidia_…"   0               19.4MB    7 days ago      Exited (255) 7 hours ago    instance-19-rtbench-instance-vllm-19
65d5785e1bf5   rtbench-instance-vllm-18:v1                    "/opt/nvidia/nvidia_…"   0               26.9MB    7 days ago      Exited (255) 7 hours ago    instance-18-rtbench-instance-vllm-18
47ec27712042   rtbench-instance-vllm-17:v1                    "/opt/nvidia/nvidia_…"   0               293MB     8 days ago      Exited (255) 7 hours ago    instance-17-rtbench-instance-vllm-17
56cef52ce496   rtbench-instance-vllm-16:v1                    "/opt/nvidia/nvidia_…"   0               182MB     8 days ago      Exited (255) 7 hours ago    instance-16-rtbench-instance-vllm-16
0e835a508405   rtbench-instance-vllm-15:v1                    "/opt/nvidia/nvidia_…"   0               143MB     8 days ago      Exited (255) 7 hours ago    instance-15-rtbench-instance-vllm-15
b69a1184a0f4   rtbench-instance-vllm-14:v1                    "/opt/nvidia/nvidia_…"   0               734MB     8 days ago      Exited (255) 7 hours ago    instance-14-rtbench-instance-vllm-14
6bcf9017ddf3   rtbench-instance-vllm-13:v1                    "/opt/nvidia/nvidia_…"   0               5.68MB    8 days ago      Exited (255) 7 hours ago    instance-13-rtbench-instance-vllm-13
e6975ad6a4e8   rtbench-instance-vllm-10:v1                    "/opt/nvidia/nvidia_…"   0               559kB     8 days ago      Exited (255) 7 hours ago    instance-10-rtbench-instance-vllm-10
720a35327cc2   rtbench-instance-vllm-9:v1                     "/opt/nvidia/nvidia_…"   0               6.88GB    8 days ago      Exited (255) 7 hours ago    instance-9-rtbench-instance-vllm-9
091d8db1a060   rtbench-instance-vllm-6:v1                     "/opt/nvidia/nvidia_…"   1               52.1MB    8 days ago      Exited (255) 7 hours ago    instance-6-rtbench-instance-vllm-6
8fe40064d005   rtbench-instance-vllm-2:v1                     "/opt/nvidia/nvidia_…"   1               82.8MB    8 days ago      Exited (255) 7 hours ago    instance-2-rtbench-instance-vllm-2
d51d65d21ac8   rtbench-instance-vllm-1:v1                     "/opt/nvidia/nvidia_…"   1               3GB       8 days ago      Exited (255) 7 hours ago    instance-1-rtbench-instance-vllm-1
